id,num_sess,product_id_CartStarted,Post_Code,Unnamed: 0,basketInfoTime,basket_paid_browsing,basket_paid_cart,cart_firstTime,cart_startTime,cart_started,datetime,last_cart_started,product_id_ProductViewed,product_price,product_save,product_time_left,product_viewed_browse,product_viewed_cart,total
1,1,3838997.0,,0,1495182843,,False,2017-05-19 08:02:53+00:00,2017-05-19 08:02:51,2017-05-19 08:02:51.292,2017-05-19 08:02:53.000,2017-05-19 08:02:53.000,,,,,,,
1,2,3838997.0,,1,1495203782,,False,2017-05-19 13:51:59+00:00,2017-05-19 08:02:51,2017-05-19 08:02:51.292,2017-05-19 13:51:59.000,2017-05-19 13:51:59.000,,,,,,,
1,3,4096138.0,,2,1496441524,,False,2017-06-02 21:40:06+00:00,2017-06-02 21:40:06,2017-06-02 21:40:06.147,2017-06-02 21:40:06.000,2017-06-02 21:40:06.000,,9.0,75%,03:01:20:04,,,9.0
1,4,4096138.0,,3,1497020106,,False,2017-06-09 14:23:10+00:00,2017-06-09 14:23:10,2017-06-09 14:23:10.017,2017-06-09 14:23:10.000,2017-06-09 14:23:10.000,,9.0,75%,00:08:36:54,,,9.0
52433,3,4211595.0,,4,1495807024,,False,2017-05-26 13:25:27+00:00,2017-05-26 13:25:20,,2017-05-26 13:25:27.000,,4009686.0,69.0,26%,06:09:34:40,2017-05-26 13:25:20.268,,69.0
2,1,4009686.0,,5,1495807024,,False,2017-05-26 13:25:27+00:00,2017-05-26 13:25:20,2017-05-26 13:25:20.891,2017-05-26 13:25:27.000,2017-05-26 13:25:27.000,,69.0,26%,06:09:34:40,,,69.0
2,2,4085525.0,,7,1497016328,,False,2017-06-09 13:20:23+00:00,2017-06-09 13:20:30,2017-06-09 13:20:30.749,2017-06-09 13:20:23.000,2017-06-09 13:20:23.000,,229.0,27%,04:09:39:29,,,229.0
52433,1,3949698.0,Rm17 6ax,1469154,1495653603,,False,2017-05-24 18:43:00+00:00,2017-05-24 18:43:00,2017-05-24 18:48:36.464,2017-05-24 18:48:37.000,2017-05-24 18:48:37.000,,509.0,48%,02:04:20:57,,,509.0
52433,2,4211595.0,,1469155,1497278104,,False,2017-06-12 14:03:52+00:00,2017-06-12 14:03:52,2017-06-12 14:03:52.170,2017-06-12 14:03:52.000,2017-06-12 14:03:52.000,,509.0,48%,01:08:56:14,,,509.0
52433,3,4211595.0,,1469156,1497278104,,False,2017-06-12 14:03:14+00:00,2017-06-12 14:03:52,2017-06-12 14:03:52.155,2017-06-12 14:03:52.000,2017-06-12 14:03:52.000,,509.0,48%,01:08:56:14,,,509.0
